!  transition:                <--             
!
        300219.3698   .8000
        300219.3698            .7900
        300219.3698   .8000
!
!  transition:     37, 14, 24 <--   37, 13, 24
!
        300219.4149   .8000
        300219.4149            .7900
        300219.4149   .8000
!
!  transition:   D 37, 14,    <--   37, 13,   
!
        300219.4149   .8000
        300219.4149            .7900
        300219.4149   .8000
!
!  transition:     37, 14, 23 <--   37, 13, 25
!
        300219.4149   .8000
        300219.4149            .7900
        300219.4149   .8000
!
!  transition:                <--             
!
!  BAND TURNING POINT
!
        300221.0000   .8000
        300221.0000   .8100
!
!  transition:     14, 14,  1 <--   14, 13,  1
!
        300135.8713   .8100
        300135.8713            .8200
        300135.8713   .8100
!
!  transition:     14, 14,  0 <--   14, 13,  2
!
        300135.8713   .8100
        300135.8713            .8200
        300135.8713   .8100
!
!  transition:   D 14, 14,    <--   14, 13,   
!
        300135.8713   .8100
        300135.8713            .8200
        300135.8713   .8100
!
!  transition:     15, 14,  2 <--   15, 13,  2
!
        300139.9207   .8100
        300139.9207            .8300
        300139.9207   .8100
!
!  transition:     15, 14,  1 <--   15, 13,  3
!
        300139.9207   .8100
        300139.9207            .8300
        300139.9207   .8100
!
!  transition:   D 15, 14,    <--   15, 13,   
!
        300139.9207   .8100
        300139.9207            .8300
        300139.9207   .8100
!
!  transition:     16, 14,  3 <--   16, 13,  3
!
        300144.1284   .8100
        300144.1284            .8200
        300144.1284   .8100
!
!  transition:     16, 14,  2 <--   16, 13,  4
!
        300144.1284   .8100
        300144.1284            .8200
        300144.1284   .8100
!
!  transition:   D 16, 14,    <--   16, 13,   
!
        300144.1284   .8100
        300144.1284            .8200
        300144.1284   .8100
!
!  transition:     17, 14,  4 <--   17, 13,  4
!
        300148.4728   .8100
        300148.4728            .8200
        300148.4728   .8100
!
!  transition:     17, 14,  3 <--   17, 13,  5
!
        300148.4728   .8100
        300148.4728            .8200
        300148.4728   .8100
!
!  transition:   D 17, 14,    <--   17, 13,   
!
        300148.4728   .8100
        300148.4728            .8200
        300148.4728   .8100
!
!  transition:     18, 14,  5 <--   18, 13,  5
!
        300152.9311   .8100
        300152.9311            .8200
        300152.9311   .8100
!
!  transition:     18, 14,  4 <--   18, 13,  6
!
        300152.9311   .8100
        300152.9311            .8200
        300152.9311   .8100
!
!  transition:   D 18, 14,    <--   18, 13,   
!
        300152.9311   .8100
        300152.9311            .8200
        300152.9311   .8100
!
!  transition:     19, 14,  6 <--   19, 13,  6
!
        300157.4790   .8100
        300157.4790            .8200
        300157.4790   .8100
!
!  transition:     19, 14,  5 <--   19, 13,  6
!
        300157.4790   .8100
        300157.4790            .8200
        300157.4790   .8100
!
!  transition:     19, 14,  5 <--   19, 13,  7
!
        300157.4790   .8100
        300157.4790            .8200
        300157.4790   .8100
!
!  transition:     19, 14,  6 <--   19, 13,  7
!
        300157.4790   .8100
        300157.4790            .8200
        300157.4790   .8100
!
!  transition:     20, 14,  6 <--   20, 13,  7
!
        300162.0911   .8100
        300162.0911            .8300
        300162.0911   .8100
!
!  transition:     20, 14,  7 <--   20, 13,  7
!
        300162.0911   .8100
        300162.0911            .8300
        300162.0911   .8100
!
!  transition:     20, 14,  6 <--   20, 13,  8
!
        300162.0911   .8100
        300162.0911            .8300
        300162.0911   .8100
!
!  transition:     20, 14,  7 <--   20, 13,  8
!
        300162.0911   .8100
        300162.0911            .8300
        300162.0911   .8100
!
!  transition:     21, 14,  8 <--   21, 13,  9
!
        300166.7406   .8100
